Samer	Abdallah
Jakob	Abesser
Kat	Agres
Teppo	Ahonen
Joshua	Albrecht
Islah	Ali-MacLachlan
Anna	Aljanaki
Vinoo	Alluri
Christina	Anagnostopoulou
Joakim	Anden
Amélie	Anglade
Pablo	Arias
Tom	Arjannikov
Andreas	Arzt
Gerard	Assayag
Jean-Julien	Aucouturier
Roland	Badeau
Freya	Bailes
David	Bainbridge
Leandro	Balby
Stefan	Balke
Giuseppe	Bandiera
Isabel	Barbancho
Ana Maria	Barbancho
Luke	Barrington
Mathieu	Barthet
Mathieu	Barthet
Eric	Battenberg
Stephan	Baumann
Mert	Bay
Alessio	Bazzica
Dogaç	Başaran
Serafina	Beck
Juan Pablo	Bello
Alejandro	Bellogín
Brian	Bemman
Emmanouil	Benetos
Ben	Bengler
Christopher	Bennett
Gilberto	Bernardes
Louis	Bigo
Frédéric	Bimbot
Jean-Robert	Bisaillon
Laura	Bishop
Rachel	Bittner
Dawn	Black
Dawn	Black
Dmitry	Bogdanov
Ciril	Bohak
Jordi	Bonada
Antonio	Bonafonte
Juanjo	Bosch
Dimitrios	Bountouridis
Fleur	Bouwer
Fleur	Bouwer
Baris	Bozkurt
Baris	Bozkurt
Carolina	Brum
Michele	Buccoli
J. Ashley	Burgoyne
Keki	Burjorjee
Juan Jose	Burred
Donald	Byrd
Sebastian	Böck
Juan Pablo	Caceres
Marcelo	Caetano
Emilios	Cambouropoulos
Carlos Eduardo	Cancino Chacon
Estefania	Cano
Julio	Carabias
Baptiste	Caramiaux
Rafael	Caro Repetto
Mark	Cartwright
Michael	Casey
Vincent	Castaignet
Dorian	Cazau
Carmine Emanuele	Cella
Oscar	Celma
Ali Taylan	Cemgil
Tak-Shing	Chan
Shuo	Chen
Chih-Ming	Chen
Alex	Chen
Srikanth	Cherla
Elaine	Chew
Yu-Hao	Chin
Kahyun	Choi
Keunwoo	Choi
Szu-Yu	Chou
Ching-Hua	Chuan
Chia-Hao	Chung
Miha	Ciglar
Andrea	Cogliati
Gina	Collecchia
Nick	Collins
Tom	Collins
Darrell	Conklin
Arshia	Cont
Debora	Correa
Courtenay	Cotton
Emanuele	Coviello
Tim	Crawford
Steven	Crawford
Sally Jo	Cunningham
Michael Scott	Cuthbert
Roger	Dannenberg
Bertrand	David
Matthew	Davies
Tijl	De Bie
Bas	de Haas
Brecht	De Man
David	De Roure
Alceu	de Souza Britto Jr.
Reinier	de Valk
Francois	Debruyne
Norberto	Degara
Francois	Deliege
Junqi	Deng
Arnaud	Dessein
Johanna	Devaney
Johanna	Devaney
Chandra	Dhir
Bruno	Di Giorgi
Sander	Dieleman
Christian	Dittmar
Simon	Dixon
Shyamala	Doraisamy
Matthias	Dorfer
J. Stephen	Downie
Karin	Dressler
Jonathan	Driedger
Zhiyao	Duan
Simon	Durand
Georgi	Dzhambazov
Douglas	Eck
Tuomas	Eerola
Hamid	Eghbal-Zadeh
Eran	Egozy
Andreas	Ehmann
Dan	Ellis
Anders	Elowsson
Valentin	Emiya
Paulo	Esquef
Slim	Essid
Steve	Essinger
Sebastian	Ewert
Zhe-Cheng	Fan
Ángel	Faraldo
Morwaread	Farbood
Regis	Faria
George	Fazekas
Tiago	Fernandes Tavares
Rebecca	Fiebrink
Ben	Fields
Thomas	Fillon
Derry	Fitzgerald
Nicole	Flaig
Arthur	Flexer
Sebastian	Flossmann
Nuno	Fonseca
Frederic	Font
José	Fornari
Jamie	Forth
Peter	Foster
Ichiro	Fujinaga
Takuya	Fujishima
Satoru	Fukayama
Daniel	Gaertner
Justin	Gagen
Joachim	Ganseman
Martin	Gasser
Martin	Gasser
Ali Cenk	Gedik
Enric	Gine
Bruno	Gingras
Mathieu	Giraud
Aggelos	Gkiokas
Aron	Glennon
Rolf Inge	Godøy
Werner	Goebl
Daniel	Gomez
Rong	Gong
Masataka	Goto
Fabien	Gouyon
Fab2en	Gouyon
Maarten	Grachten
Jeff	Gregorio
Garth	Griffin
Thomas	Grill
Harald	Grohganz
David	Grunberg
Cynthia	Grund
Yupeng	Gu
Catherine	Guastavino
Enric	Guaus
Sankalp	Gulati
Chun	Guo
Michael	Gurevich
Emilia	Gómez
Henrik	Hahn
Masatoshi	Hamanaka
Philippe	Hamel
Jinyu	Han
Andrew	Hankinson
Andrew	Hankinson
Pierre	Hanna
Yun	Hao
Steven	Hargreaves
Martin	Haro
Peter	Harrison
Chris	Harte
Thomas	Hedges
Mikael	Henaff
Martin	Hermant
Dorien	Herremans
Dorien	Herremans
Dorien	Herremans
Jorge	Herrera
Perfecto	Herrera
Keiji	Hirata
Jason	Hockman
Matt	Hoffman
André	Holzapfel
Andre	Holzapfel
Henkjan	Honing
Aline	Honingh
Amy	Hoover
Diane	Hu
Yajie	Hu
Xiao	Hu
Anna	Huang
Po-Sen	Huang
Yu-Hui	Huang
Po-Sen	Huang
Eric	Humphrey
David	Huron
Fernando	Iazzetta
Vaiva	Imbrasaite
Vignesh	Ishwar
Organizers	ISMIR 2016
Akinori	Ito
Katsutoshi	Itoyama
Ozgur	Izmirli
Kelly	Jakubowski
Peter	Jancovic
Jordi	Janer
Roger	Jang
Berit	Janssen
Ping-Keng	Jao
Kristoffer	Jensen
Cyril	Joder
Sergi	Jordà
Sanghoon	Jun
Enric	Junque de Fortuny
Florian	Kaiser
Maximos	Kaliakatsos-Papakostas
Blair	Kaneshiro
Kunio	Kashino
Haruhiro	Katayose
Andreas	Katsiavalos
Damián	Keller
Rainer	Kelz
Johannes	Kepper
Corey	Kereliuk
Minje	Kim
Holger	Kirchhoff
Tetsuro	Kitahara
Anssi	Klapuri
Rainer	Kleinertz
Peter	Knees
Ian	Knopke
Gopala Krishna	Koduri
Noam	Koenigstein
Alessandro	Koerich
Munevver	Kokuer
Fabio	Kon
Marijn	Koolen
Vincent	Koops
Filip	Korzeniowski
Katerina	Kosta
Florian	Krebs
Nadine	Kroher
Anna	Kruspe
Lun-Wei	Ku
Frank	Kurth
Mathieu	Lagrange
Andrew	Lambert
Paul	Lamere
Robin	Laney
Thibault	Langlois
Audrey	Laplante
Martha	Larson
Olivier	Lartillot
Stefan	Lattner
Cyril	Laurier
Kyogu	Lee
Jin Ha	Lee
Sang Won	Lee
Andreas	Lehmann
Bernhard	Lehner
Bernhard	Lehner
Matthias	Leimeister
Kjell	Lemstrom
Florence	Leve
Mark	Levy
David	Lewis
Richard	Lewis
Bochen	Li
Wei	Li
Dawen	Liang
Thomas	Lidy
Elad	Liebman
Cynthia	Liem
Daryl	Lim
Yin-Tzu	Lin
Yuan-Pin	Lin
Yi-Wen	Liu
Jen-Yu	Liu
Marco	Liuni
Antoine	Liutkus
Joao	Lobato Oliveira
Jörn	Loviscach
Lie	Lu
Hanna	Lukashevich
Athanasios	Lykartsis
Patricio	López-Serrano
Anderson	Machado
Esteban	Maestre
Akira	Maezawa
José Pedro	Magalhães
Adolfo	Maia Jr.
Stephane	Mallat
Michael	Mandel
Jônatas	Manzolli
Elizabeth	Margulis
Matija	Marolt
Gonçalo	Marques
Mónica	Marrero
Alan	Marsden
Luis Gustavo	Martins
David	Martins de Matos
Agustin	Martorell
Matthias	Mauch
Matthias	Mauch
Panayotis	Mavromatis
Rudolf	Mayer
Brian	McFee
Brian	McFee
Cory	McKay
Matt	McVicar
Annamaria	Mesaros
Gabriel	Meseguer
Cedric	Mesnage
Andrew	Milne
Stylianos	Mimilakis
Marius	Miron
Dirk	Moelants
Julie	Moeyersoms
Nicola	Montecchio
Josh	Moore
Artemis	Moroni
Brandon	Morton
Marcela	Morvidone
Manuel	Moussallam
Meinard	Mueller
Hema	Murthy
Daniel	Müllensiefen
Hidehisa	Nagano
Eita	Nakamura
Tomoyasu	Nakano
Masahiro	Nakano
Teresa	Nakra
Juhan	Nam
Maria	Navarro
Luiz	Naveda
Kerstin	Neubarth
Abdoulaye	Niang
Eric	Nichols
Oriol	Nieto
Mitsunori	Ogihara
Yasunori	Ohishi
Anders	Oland
Maurizio	Omologo
Nobutaka	Ono
Johan	Oomen
Sergio	Oramas
Nicola	Orio
Vito	Ostuni
Alexei	Ozerov
Ken	O’Hanlon
Francois	Pachet
Kevin	Page
Rui Pedro	Paiva
Daniel	Palhazi Cuervo
Maria	Panteli
Hélène	Papadopoulos
Bryan	Pardo
Gabriel	Parent
Tae Hong	Park
Jouni	Paulus
Johan	Pauwels
Steffen	Pauws
Marcus	Pearce
Geoffroy	Peeters
Graham	Percival
Alfonso	Perez
Lucien	Perticoz
Antonio	Pertusa
Matevž	Pesek
Pedro	Pestana
Aggelos	Pikrakis
Marcelo	Pimenta
Jordi	Pons
Phillip	Popp
Alastair	Porter
Thomas	Praetzlich
Martin	Preinfalk
Matthew	Prockup
Polina	Proutskova
Laurent	Pugin
Marcelo	Queiroz
Ian	Quinn
Elio	Quinton
Stanislaw	Raczynski
Colin	Raffel
Zafar	Rafii
Mathieu	Ramona
Miguel	Ramírez
Preeti	Rao
Christopher	Raphael
Valery	Rashkov
Andreas	Rauber
Ana	Rebelo
Joshua	Reiss
Gang	Ren
Iris	Ren
Christophe	Rhodes
Gael	Richard
Carolin	Rindfleisch
Daniel	Ringwalt
David	Rizo
Andrew	Robertson
Matthias	Robine
Martin	Rocamora
Bruno	Rocha
Francisco	Rodriguez Algarra
Marcelo	Rodríguez López
Jim	Rogers
Martin	Rohrmeier
Perry	Roland
Gerard	Roma
Deane	Root
David	Rosen
Robert	Rowe
Frank	Russo
Alex	Ruthmann
Pasi	Saari
Makiko	Sadakata
Shigeki	Sagayama
Alan	Said
Tetsuya	Sakai
Justin	Salamon
Craig Stuart	Sapp
Gabriel	Sargent
Andy	Sarroff
Markus	Schedl
Flávio	Schiavoni
Alexander	Schindler
Alexander	Schindler
Jan	Schlueter
Erik	Schmidt
Dominik	Schnitzer
Bjoern	Schuller
Jeffrey	Scott
Prem	Seetharaman
Xavier	Serra
Joan	Serrà
Klaus	Seyerlehner
Andie	Sigler
Siddharth Sanjay	Sigtia
Holly	Silk
Ian	Simon
George	Sioros
Diana	Siwiak
Joren	Six
Malcolm	Slaney
Olga	Slizovskaia
Paris	Smaragdis
Lloyd	Smith
Jordan	Smith
Ian	Soboroff
Mohammad	Soleymani
Yading	Song
Reinhard	Sonnleitner
Mohamed	Sordo
Pablo	Sprechmann
Ajay	Srinivasamurthy
Ryan	Stables
Adam	Stark
Rebecca	Stewart
Sebastian	Stober
Fabian-Robert	Stoeter
Dan	Stowell
Bob	Sturm
Alvin Wen Yu	Su
Li	Su
Anand	Subramanian
Cameron	Summers
Ben	Supper
Atau	Tanaka
damien	tardieu
David	Temperley
Florian	Thalmann
Jessica	Thompson
Mi	Tian
Steve	Tjoa
Marko	Tkalcic
Petri	Toiviainen
George	Tourtellot
Godfried	Toussaint
Caroline	Traube
Manos	Tsagkias
Wei-Ho	Tsai
Kosetsu	Tsukuda
Robert	Tubb
Douglas	Turnbull
George	Tzanetakis
Christian	Uhle
Finn	Upham
Julián	Urbano
Yonatan	Vaizman
Jose	Valero-Mas
Andreu	Vall
Rafael	Valle
Jan	Van Balen
Marnix	van Berchum
Bastiaan	van der Weij
Peter	Van Kranenburg
Leigh	VanHandel
Carlos	Vaquero
Aneesh	Vartakavi
Gissel	Velarde
Remco	Veltkamp
Naresh	Vempala
Gabriel	Vigliensoni
Emmanuel	Vincent
Tuomas	Virtanen
Richard	Vogl
Anja	Volk
Marcelo	Wanderley
Ge	Wang
Xing	Wang
Ju-Chiang	Wang
Ye	Wang
Siying	Wang
Xinxi	Wang
Hsin-Min	Wang
Jia-Ching	Wang
Cheng-i	Wang
Wouter	Weerkamp
David	Weigl
Eugene	Weinstein
Ron	Weiss
Christof	Weiß
Tillman	Weyde
Tillman	Weyde
Ian	Whalley
Gerhard	Widmer
Frans	Wiering
Geraint	Wiggins
Victoria	Williamson
Thomas	Wilmering
Daniel	Wolff
Matthew	Woolhouse
Matthew	Wright
Fu-Hai Frank	Wu
Ben	Wu
Chih-Wei	Wu
Guangyu	Xia
Karthik	Yadati
Yi-Hsuan	Yang
Mu-Heng	Yang
Kazuyoshi	Yoshii
Sølvi	Ystad
Asteris	Zacharakis
Simon	Zagorski-Thomas
Eva	Zangerle
Massimiliano	Zanoni
Jose Ricardo	Zapata
Jose	Zapata
Lawrence	Zbikowski
Yichi	Zhang
Jesús	Álvaro
Cárthach	Ó Nuanáin
Sertan	Şentürk
Umut	Şimşekli
